timestamp,week_label,action,rows
2025-06-30 05:19:46.564864,2025-24,skipped,NA
2025-06-30 05:19:51.643596,2025-25,not_found,NA
2025-07-01 05:21:30.740925,2025-24,skipped,NA
2025-07-01 05:21:35.768251,2025-25,downloaded,908
2025-07-02 05:19:44.563231,2025-24,skipped,NA
2025-07-02 05:19:49.580756,2025-25,skipped,NA
2025-07-03 05:21:04.121397,2025-24,skipped,NA
2025-07-03 05:21:09.130814,2025-25,skipped,NA
2025-07-04 05:20:05.483002,2025-25,skipped,NA
2025-07-04 05:20:10.500815,2025-26,not_found,NA
2025-07-07 05:20:01.472899,2025-25,skipped,NA
2025-07-07 05:20:06.492689,2025-26,not_found,NA
2025-07-08 05:18:28.966655,2025-25,skipped,NA
2025-07-08 05:18:33.990396,2025-26,downloaded,908
2025-07-09 05:22:29.845011,2025-25,skipped,NA
2025-07-09 05:22:34.877736,2025-26,skipped,NA
2025-07-10 05:20:28.237084,2025-25,skipped,NA
2025-07-10 05:20:33.254596,2025-26,skipped,NA
2025-07-11 05:21:09.950264,2025-26,skipped,NA
2025-07-11 05:21:14.970018,2025-27,not_found,NA
2025-07-14 05:23:58.578559,2025-26,skipped,NA
2025-07-14 05:24:03.607585,2025-27,not_found,NA
2025-07-15 05:23:08.32997,2025-26,skipped,NA
2025-07-15 05:23:13.348738,2025-27,downloaded,908
2025-07-16 05:23:22.521936,2025-26,skipped,NA
2025-07-16 05:23:27.544207,2025-27,skipped,NA
2025-07-17 05:23:09.925516,2025-26,skipped,NA
2025-07-17 05:23:14.94399,2025-27,skipped,NA
2025-07-18 05:24:36.076549,2025-27,skipped,NA
2025-07-18 05:24:41.097144,2025-28,not_found,NA
2025-07-21 05:24:53.800696,2025-27,skipped,NA
2025-07-21 05:24:58.82202,2025-28,not_found,NA
2025-07-22 05:23:57.966766,2025-27,skipped,NA
2025-07-22 05:24:02.987495,2025-28,downloaded,909
2025-07-23 05:26:02.778781,2025-27,skipped,NA
2025-07-23 05:26:07.820251,2025-28,skipped,NA
2025-07-24 05:24:52.428439,2025-27,skipped,NA
2025-07-24 05:24:57.490021,2025-28,skipped,NA
2025-07-25 05:24:49.175616,2025-28,skipped,NA
2025-07-25 05:24:54.194322,2025-29,not_found,NA
2025-07-28 05:26:08.984499,2025-28,skipped,NA
2025-07-28 05:26:14.024126,2025-29,not_found,NA
