"date","value","year","week_label_clean","pref","category"
"2012-10-28",1.31,2012,"October 22–28, 2012","Tokyo","Strep throat"
"2012-10-28",4.78,2012,"October 22–28, 2012","Tokyo","Gastroenteritis"
"2012-10-28",0.68,2012,"October 22–28, 2012","Tokyo","Chickenpox"
"2012-10-28",0.4,2012,"October 22–28, 2012","Tokyo","Hand-foot-mouth disease"
"2012-10-28",0.05,2012,"October 22–28, 2012","Tokyo","Fifth disease"
"2012-10-28",0.63,2012,"October 22–28, 2012","Tokyo","Roseola"
"2012-10-28",0.03,2012,"October 22–28, 2012","Tokyo","Whooping cough"
"2012-10-28",0.22,2012,"October 22–28, 2012","Tokyo","Herpangina"
"2012-10-28",0.23,2012,"October 22–28, 2012","Tokyo","Mumps"
"2012-10-28",0.03,2012,"October 22–28, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-10-28",0.37,2012,"October 22–28, 2012","Tokyo","Viral conjunctivitis"
"2012-10-28",0.12,2012,"October 22–28, 2012","Tokyo","Bacterial meningitis"
"2012-10-28",0.08,2012,"October 22–28, 2012","Tokyo","Viral meningitis"
"2012-10-28",1.44,2012,"October 22–28, 2012","Tokyo","Mycoplasma pneumonia"
"2012-10-28",0.04,2012,"October 22–28, 2012","Tokyo","Chlamydia pneumonia"
"2012-11-04",0.05,2012,"October 29 – November 4, 2012","Tokyo","Flu"
"2012-11-04",0.3,2012,"October 29 – November 4, 2012","Tokyo","Adenovirus infection"
"2012-11-04",1.42,2012,"October 29 – November 4, 2012","Tokyo","Strep throat"
"2012-11-04",5.62,2012,"October 29 – November 4, 2012","Tokyo","Gastroenteritis"
"2012-11-04",0.54,2012,"October 29 – November 4, 2012","Tokyo","Chickenpox"
"2012-11-04",0.4,2012,"October 29 – November 4, 2012","Tokyo","Hand-foot-mouth disease"
"2012-11-04",0.04,2012,"October 29 – November 4, 2012","Tokyo","Fifth disease"
"2012-11-04",0.56,2012,"October 29 – November 4, 2012","Tokyo","Roseola"
"2012-11-04",0.04,2012,"October 29 – November 4, 2012","Tokyo","Whooping cough"
"2012-11-04",0.1,2012,"October 29 – November 4, 2012","Tokyo","Herpangina"
"2012-11-04",0.18,2012,"October 29 – November 4, 2012","Tokyo","Mumps"
"2012-11-04",0.03,2012,"October 29 – November 4, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-11-04",0.38,2012,"October 29 – November 4, 2012","Tokyo","Viral conjunctivitis"
