"date","value","year","week_label_clean","pref","category"
"2012-12-09",0.49,2012,"December 3–9, 2012","Nationwide","Roseola"
"2012-12-09",0.02,2012,"December 3–9, 2012","Nationwide","Whooping cough"
"2012-12-09",0.04,2012,"December 3–9, 2012","Nationwide","Herpangina"
"2012-12-09",0.35,2012,"December 3–9, 2012","Nationwide","Mumps"
"2012-12-09",0.01,2012,"December 3–9, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-12-09",0.64,2012,"December 3–9, 2012","Nationwide","Viral conjunctivitis"
"2012-12-09",0.02,2012,"December 3–9, 2012","Nationwide","Bacterial meningitis"
"2012-12-09",0.02,2012,"December 3–9, 2012","Nationwide","Viral meningitis"
"2012-12-09",1.06,2012,"December 3–9, 2012","Nationwide","Mycoplasma pneumonia"
"2012-12-09",0.06,2012,"December 3–9, 2012","Nationwide","Chlamydia pneumonia"
"2012-12-16",1.17,2012,"December 10–16, 2012","Nationwide","Flu"
"2012-12-16",0.45,2012,"December 10–16, 2012","Nationwide","Adenovirus infection"
"2012-12-16",2.03,2012,"December 10–16, 2012","Nationwide","Strep throat"
"2012-12-16",19.23,2012,"December 10–16, 2012","Nationwide","Gastroenteritis"
"2012-12-16",2.11,2012,"December 10–16, 2012","Nationwide","Chickenpox"
"2012-12-16",0.42,2012,"December 10–16, 2012","Nationwide","Hand-foot-mouth disease"
"2012-12-16",0.05,2012,"December 10–16, 2012","Nationwide","Fifth disease"
"2012-12-16",0.49,2012,"December 10–16, 2012","Nationwide","Roseola"
"2012-12-16",0.01,2012,"December 10–16, 2012","Nationwide","Whooping cough"
"2012-12-16",0.04,2012,"December 10–16, 2012","Nationwide","Herpangina"
"2012-12-16",0.34,2012,"December 10–16, 2012","Nationwide","Mumps"
"2012-12-16",0.01,2012,"December 10–16, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-12-16",0.63,2012,"December 10–16, 2012","Nationwide","Viral conjunctivitis"
"2012-12-16",0.01,2012,"December 10–16, 2012","Nationwide","Bacterial meningitis"
"2012-12-16",0.03,2012,"December 10–16, 2012","Nationwide","Viral meningitis"
"2012-12-16",1.07,2012,"December 10–16, 2012","Nationwide","Mycoplasma pneumonia"
"2012-12-16",0.03,2012,"December 10–16, 2012","Nationwide","Chlamydia pneumonia"
"2012-12-23",2.23,2012,"December 17–23, 2012","Nationwide","Flu"
"2012-12-23",0.48,2012,"December 17–23, 2012","Nationwide","Adenovirus infection"
"2012-12-23",2.2,2012,"December 17–23, 2012","Nationwide","Strep throat"
"2012-12-23",17,2012,"December 17–23, 2012","Nationwide","Gastroenteritis"
"2012-12-23",2.16,2012,"December 17–23, 2012","Nationwide","Chickenpox"
"2012-12-23",0.36,2012,"December 17–23, 2012","Nationwide","Hand-foot-mouth disease"
"2012-12-23",0.05,2012,"December 17–23, 2012","Nationwide","Fifth disease"
"2012-12-23",0.47,2012,"December 17–23, 2012","Nationwide","Roseola"
"2012-12-23",0.02,2012,"December 17–23, 2012","Nationwide","Whooping cough"
"2012-12-23",0.05,2012,"December 17–23, 2012","Nationwide","Herpangina"
"2012-12-23",0.37,2012,"December 17–23, 2012","Nationwide","Mumps"
"2012-12-23",0.01,2012,"December 17–23, 2012","Nationwide","Hemorrhagic conjunctivitis"
"2012-12-23",0.63,2012,"December 17–23, 2012","Nationwide","Viral conjunctivitis"
"2012-12-23",0.02,2012,"December 17–23, 2012","Nationwide","Bacterial meningitis"
"2012-12-23",0.03,2012,"December 17–23, 2012","Nationwide","Viral meningitis"
"2012-12-23",0.94,2012,"December 17–23, 2012","Nationwide","Mycoplasma pneumonia"
"2012-12-23",0.04,2012,"December 17–23, 2012","Nationwide","Chlamydia pneumonia"
